"(p,q,P,Q)",AIC
"(1, 2, 3, 4)",282.57113082674636
"(2, 1, 3, 4)",282.5744122135884
"(2, 2, 3, 4)",282.62629296673
"(2, 3, 3, 4)",282.6551852753169
"(4, 3, 3, 4)",282.7219423136429
"(4, 3, 4, 1)",282.7254465968681
"(2, 2, 4, 4)",282.7297291528333
"(2, 2, 4, 0)",282.7774567366953
"(2, 2, 2, 2)",282.8386214999777
"(4, 0, 4, 0)",282.8482334285062
"(2, 2, 3, 1)",282.85812953386176
"(4, 3, 4, 4)",282.8768702098315
"(2, 1, 4, 1)",282.9540891773745
"(1, 3, 4, 2)",283.02214805680126
"(4, 0, 2, 2)",283.03436091478943
"(2, 3, 4, 2)",283.03609061449646
"(2, 3, 4, 4)",283.0383336986724
"(4, 0, 3, 1)",283.04173132729414
"(1, 3, 1, 0)",283.05890356931343
"(2, 2, 4, 2)",283.12240665021534
"(3, 0, 0, 4)",283.14422964544065
"(4, 0, 4, 4)",283.301063918909
"(3, 1, 0, 0)",283.3823347777559
"(2, 1, 3, 2)",283.4361356407876
"(2, 3, 4, 1)",283.44200699670466
"(3, 0, 1, 2)",283.44570652324865
"(4, 0, 3, 4)",283.4666177212818
"(2, 2, 4, 3)",283.529948540023
"(2, 3, 3, 2)",283.5383743714722
"(2, 3, 4, 3)",283.5721032304
"(4, 3, 4, 2)",283.60832814902443
"(3, 0, 0, 2)",283.641780339213
"(3, 0, 3, 4)",283.6882615545202
"(3, 2, 0, 0)",283.7048264808848
"(1, 2, 4, 1)",283.70717824980943
"(3, 0, 4, 4)",283.7073185865935
"(4, 0, 4, 2)",283.7868819293109
"(3, 0, 1, 1)",283.7978559711238
"(2, 0, 1, 0)",283.82121196625724
"(1, 3, 4, 3)",283.87190372701195
"(1, 3, 4, 0)",283.9296611525023
"(1, 2, 3, 2)",284.0081812326779
"(2, 0, 4, 1)",284.0872676272561
"(3, 0, 4, 0)",284.10435177195774
"(3, 0, 2, 2)",284.12007182563195
"(3, 0, 3, 1)",284.12768159875293
"(1, 3, 2, 2)",284.15505955416205
"(2, 0, 3, 2)",284.1794895446499
"(2, 0, 4, 2)",284.19093563090723
"(4, 1, 0, 0)",284.19972300626165
"(1, 3, 4, 4)",284.30466730257774
"(1, 3, 3, 1)",284.33029280197457
"(4, 0, 4, 3)",284.37770766897575
"(2, 0, 4, 3)",284.4377967585155
"(4, 3, 4, 3)",284.4698783196254
"(2, 2, 4, 1)",284.6914999520245
"(0, 1, 0, 0)",284.7559244899116
"(4, 0, 4, 1)",284.79618336033906
"(2, 2, 3, 2)",284.8365705712595
"(1, 3, 3, 4)",284.88084978096765
"(4, 0, 3, 2)",285.02321065734384
"(3, 3, 0, 0)",285.04738859627105
"(0, 4, 0, 0)",285.3840623928728
"(3, 0, 1, 0)",285.5740261854917
"(4, 2, 0, 0)",285.6074587300611
"(1, 3, 4, 1)",285.80142847623006
"(2, 4, 0, 0)",285.8264704563617
"(2, 3, 0, 0)",285.9677054989706
"(1, 1, 0, 0)",286.03348523272683
"(3, 0, 4, 1)",286.0431097331506
"(3, 0, 3, 2)",286.1321008166347
"(3, 0, 4, 3)",286.1408496078323
"(1, 3, 3, 2)",286.1441958087124
"(3, 0, 4, 2)",286.17840270176237
"(0, 2, 0, 0)",286.17884429416563
"(1, 4, 0, 0)",286.24088900685047
"(0, 3, 0, 0)",286.36899830935187
"(2, 1, 0, 0)",286.6542314292657
"(4, 4, 0, 0)",287.1175105455533
"(4, 3, 0, 0)",287.5371660871041
"(4, 0, 0, 0)",287.6489182965412
"(3, 4, 0, 0)",287.69589703952994
"(1, 2, 0, 0)",287.96632560407255
"(2, 2, 0, 0)",288.75390240572983
"(1, 3, 0, 0)",289.2057985627005
"(2, 0, 0, 0)",290.5831358092518
"(3, 0, 0, 0)",292.4665099554131
"(1, 0, 1, 3)",294.70050417446214
"(1, 0, 1, 4)",296.669025290122
"(1, 0, 2, 3)",296.741313252577
"(1, 0, 2, 0)",297.5350950499239
"(1, 0, 0, 2)",297.88435441232946
"(1, 0, 4, 2)",298.07552756911116
"(1, 0, 3, 3)",298.28159231751226
"(1, 0, 4, 3)",298.3343370131707
"(1, 0, 0, 3)",298.38136823019755
"(1, 0, 2, 4)",298.43730975757023
"(1, 0, 1, 2)",298.77627418801256
"(1, 0, 2, 1)",298.88451122512527
"(1, 0, 4, 4)",299.0438922039885
"(1, 0, 0, 4)",299.06446724153585
"(1, 0, 3, 0)",299.13857297015034
"(1, 0, 4, 0)",299.5503042887285
"(1, 0, 1, 1)",300.0701364368639
"(1, 0, 3, 4)",300.08382501391685
"(1, 0, 0, 1)",300.5705283886844
"(1, 0, 2, 2)",300.7434800156153
"(1, 0, 3, 1)",300.88140998897524
"(1, 0, 4, 1)",301.3186478011204
"(1, 0, 3, 2)",302.29234754373186
"(1, 0, 1, 0)",304.2019721222306
"(1, 0, 0, 0)",306.368360610575
"(0, 0, 4, 2)",344.7334209704216
"(0, 0, 2, 2)",345.2724071729864
"(0, 0, 2, 3)",345.8431072341795
"(0, 0, 3, 2)",346.2096822702525
"(0, 0, 4, 3)",346.5609535187489
"(0, 0, 3, 3)",348.13226758235885
"(0, 0, 0, 2)",348.55072253330275
"(0, 0, 4, 0)",349.4623910500114
"(0, 0, 1, 3)",349.64420983259754
"(0, 0, 2, 1)",349.8467824009527
"(0, 0, 3, 4)",349.9776733060163
"(0, 0, 3, 0)",350.4389892986288
"(0, 0, 0, 3)",350.5296321030162
"(0, 0, 1, 2)",350.5360292191919
"(0, 0, 1, 4)",350.66177025279404
"(0, 0, 4, 4)",350.9122531867961
"(0, 0, 2, 0)",350.9222189443758
"(0, 0, 4, 1)",351.3789986017664
"(0, 0, 3, 1)",351.4251747690248
"(0, 0, 1, 1)",351.4668368142693
"(0, 0, 0, 4)",351.68091710983794
"(0, 0, 2, 4)",353.2509820352981
"(0, 0, 0, 1)",354.75171938734024
"(0, 0, 1, 0)",357.1737061833923
"(0, 0, 0, 0)",357.5318708187898
